,size,avg_insert,max_insert,avg_find,max_find,collision_rate,time
289,29000.0,1.6672758620689656,37.0,1.6672758620689656,37.0,0.14698275862068966,0.18596315383911133
290,29100.0,1.616254295532646,41.0,1.616254295532646,41.0,0.14307560137457045,0.18410563468933105
291,29200.0,1.6166095890410959,43.0,1.6166095890410959,43.0,0.1447260273972603,0.19362568855285645
292,29300.0,1.5978156996587032,21.0,1.5978156996587032,21.0,0.14267918088737203,0.1911146640777588
293,29400.0,1.8229591836734693,34.0,1.8229591836734693,34.0,0.1633673469387755,0.19159460067749023
294,29500.0,1.6284067796610169,42.0,1.6284067796610169,42.0,0.14467796610169492,0.1941056251525879
295,29600.0,1.662027027027027,23.0,1.662027027027027,23.0,0.1497466216216216,0.1901090145111084
296,29700.0,1.8871043771043772,36.0,1.8871043771043772,36.0,0.17526936026936027,0.19611287117004395
297,29800.0,1.6075167785234898,18.0,1.6075167785234898,18.0,0.145,0.19769024848937988
298,29900.0,1.6220401337792643,24.0,1.6220401337792643,24.0,0.14719063545150501,0.19161105155944824
299,30000.0,2.045933333333333,52.0,2.045933333333333,52.0,0.15835,0.19426488876342773
300,30100.0,1.611362126245847,22.0,1.611362126245847,22.0,0.14612956810631228,0.19261884689331055
301,30200.0,1.6102649006622516,28.0,1.6102649006622516,28.0,0.14480132450331126,0.19111251831054688
302,30300.0,1.5923762376237625,25.0,1.5923762376237625,25.0,0.1442904290429043,0.19360804557800293
303,30400.0,1.6625,27.0,1.6625,27.0,0.14970394736842105,0.20143461227416992
304,30500.0,1.6481311475409837,32.0,1.6481311475409837,32.0,0.1480983606557377,0.2067408561706543
305,30600.0,1.9328104575163398,43.0,1.9328104575163398,43.0,0.17215686274509803,0.19963669776916504
306,30700.0,1.5934201954397393,23.0,1.5934201954397393,23.0,0.14298045602605863,0.19774699211120605
307,30800.0,1.6869805194805194,26.0,1.6869805194805194,26.0,0.15457792207792206,0.2000133991241455
308,30900.0,1.623462783171521,28.0,1.623462783171521,28.0,0.14351132686084142,0.2066478729248047
309,31000.0,1.672774193548387,27.0,1.672774193548387,27.0,0.14864516129032257,0.2116250991821289
310,31100.0,1.5866237942122186,26.0,1.5866237942122186,26.0,0.14040192926045017,0.2086632251739502
311,31200.0,1.7711858974358974,48.0,1.7711858974358974,48.0,0.15493589743589745,0.21165037155151367
312,31300.0,1.585367412140575,20.0,1.585367412140575,20.0,0.1428594249201278,0.2021193504333496
313,31400.0,1.6165605095541402,44.0,1.6165605095541402,44.0,0.14539808917197453,0.19912505149841309
314,31500.0,1.9347301587301586,27.0,1.9347301587301586,27.0,0.17733333333333334,0.2046215534210205
315,31600.0,1.6127848101265823,23.0,1.6127848101265823,23.0,0.14449367088607595,0.2085883617401123
316,31700.0,1.589621451104101,23.0,1.589621451104101,23.0,0.14261829652996846,0.20261836051940918
317,31800.0,1.6346540880503144,38.0,1.6346540880503144,38.0,0.1479874213836478,0.20512890815734863
318,31900.0,1.6378683385579937,29.0,1.6378683385579937,29.0,0.1459090909090909,0.21069908142089844
319,32000.0,1.73415625,37.0,1.73415625,37.0,0.151953125,0.20461106300354004
